timestamp,symbol,price,volume
2025-09-12 09:00:00,AAPL,189.25,120
2025-09-12 09:00:01,AAPL,189.30,95
2025-09-12 09:00:02,AAPL,189.20,110
2025-09-12 09:00:03,AAPL,189.15,130
2025-09-12 09:00:04,AAPL,189.10,100
2025-09-12 09:00:05,AAPL,189.05,115
2025-09-12 09:00:06,AAPL,189.00,90
2025-09-12 09:00:07,AAPL,188.95,105
2025-09-12 09:00:08,AAPL,188.90,125
2025-09-12 09:00:09,AAPL,188.85,95
2025-09-12 09:00:10,AAPL,188.80,110
2025-09-12 09:00:11,AAPL,188.75,100
2025-09-12 09:00:12,AAPL,188.70,120
2025-09-12 09:00:13,AAPL,188.65,130
2025-09-12 09:00:14,AAPL,188.60,115
2025-09-12 09:00:15,AAPL,188.55,105
2025-09-12 09:00:16,AAPL,188.50,95
2025-09-12 09:00:17,AAPL,188.45,90
2025-09-12 09:00:18,AAPL,188.40,100
2025-09-12 09:00:19,AAPL,188.35,110
2025-09-12 09:00:20,AAPL,188.30,120
2025-09-12 09:00:21,AAPL,188.25,130
2025-09-12 09:00:22,AAPL,188.20,115
2025-09-12 09:00:23,AAPL,188.15,105
2025-09-12 09:00:24,AAPL,188.10,95
2025-09-12 09:00:25,AAPL,188.05,90
2025-09-12 09:00:26,AAPL,188.00,100
2025-09-12 09:00:27,AAPL,187.95,110
2025-09-12 09:00:28,AAPL,187.90,120
2025-09-12 09:00:29,AAPL,187.85,130
2025-09-12 09:00:30,AAPL,187.80,95
2025-09-12 09:00:31,AAPL,187.75,100
2025-09-12 09:00:32,AAPL,187.70,110
2025-09-12 09:00:33,AAPL,187.65,120
2025-09-12 09:00:34,AAPL,187.60,130
2025-09-12 09:00:35,AAPL,187.55,115
2025-09-12 09:00:36,AAPL,187.50,105
2025-09-12 09:00:37,AAPL,187.45,95
2025-09-12 09:00:38,AAPL,187.40,90
2025-09-12 09:00:39,AAPL,187.35,100
2025-09-12 09:00:40,AAPL,187.30,110
2025-09-12 09:00:41,AAPL,187.25,120
2025-09-12 09:00:42,AAPL,187.20,130
2025-09-12 09:00:43,AAPL,187.15,115
2025-09-12 09:00:44,AAPL,187.10,105
2025-09-12 09:00:45,AAPL,187.05,95
2025-09-12 09:00:46,AAPL,187.00,90
2025-09-12 09:00:47,AAPL,186.95,100
2025-09-12 09:00:48,AAPL,186.90,110
2025-09-12 09:00:49,AAPL,186.85,120
